TOP 100 FILMS NOT ON THE 'Beloved (best quality)' PROFILE
========================================================================================================
Radarr already has a profile shaped exactly for these films (+100 for 6-10 GB,
+30 for 10-15 GB, -500 for <1.5 GB). Films on it sit at a 1.01 median quality
ratio vs 0.44 for Normal. Only 34 of 112 Top 100 films are on it.

SAFE: verified 2026-08-01 that reassignment cannot trigger a download.
  * upgradeAllowed=false on all three profiles -> cutoff-unmet never fires
  * Beloved's allowed-quality list spans SDTV..Bluray-1080p, so every existing
    file already satisfies it
  * RSS sync (30 min, Knaben/TPB/YTS) therefore has nothing to grab for a movie
    that already has a file
Nothing moves until you deliberately search.

BAND: purple >=0.20 bpp | green >=0.13 | orange >=0.08 | red <0.08
      (bpp = h264-equivalent bits per pixel per frame; HEVC x1.8)

   bpp    band  now GB  @green  @purple profile                quality        group       title
--------------------------------------------------------------------------------------------------------------------------------------------
 0.033     red     1.7     6.7     10.4 Normal                 Bluray-1080p   YIFY        Gladiator
 0.034     red     0.6     2.2      3.4 Low (save space)       Bluray-720p    YIFY        Meet the Parents
 0.036     red     1.3     4.7      7.2 Normal                 Bluray-1080p   YIFY        The Social Network
 0.037     red     1.7     6.0      9.3 Normal                 Bluray-1080p   1080p       You've Got Mail
 0.038     red     1.5     5.1      7.9 Normal                 Bluray-1080p   1080p       Finding Nemo
 0.039     red     1.5     5.0      7.7 Normal                 Bluray-1080p   1080p       Mission: Impossible - Ghost Protocol
 0.041     red     1.8     5.6      8.7 Normal                 Bluray-1080p   ?           The Lion King
 0.041     red     1.5     4.9      7.5 Normal                 Bluray-1080p   YIFY        Up
 0.042     red     2.2     6.9     10.6 Normal                 Bluray-1080p   YIFY        The Wolf of Wall Street
 0.043     red     2.1     6.3      9.7 Normal                 Bluray-1080p   1080p       The Terminal
 0.044     red     1.6     4.8      7.4 Normal                 Bluray-1080p   YTS         Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
 0.044     red     1.8     5.2      8.0 Normal                 Bluray-1080p   YIFY        The Truman Show
